objID,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class,subClass
1237648702968430779,18.95451,0.0345402,17.93538,0.007988228,17.63587,0.008437057,17.40543,0.009726163,17.358,0.03093527,326592094531512320,0.08321483,6.277883E-06,0.062251,0.017274,GALAXY,STARBURST
1237648702968627397,19.87891,0.08729817,18.23735,0.01100998,17.66446,0.009031165,17.35482,0.009818881,17.10673,0.02673687,326580274781513728,0.1632845,9.927843E-06,0.060672,0.028255,GALAXY,STARBURST
1237648702968627432,24.32997,1.309473,21.01168,0.05776725,19.20673,0.01773004,18.64,0.01562228,18.21098,0.03518429,326579175269885952,0.4108707,8.452251E-05,0.358976,0.021119,GALAXY,
1237648702968823927,19.96855,0.05268773,18.55028,0.009201285,17.74484,0.006784543,17.34717,0.006764624,17.05362,0.01605157,326571203810584576,0.1179935,1.425321E-05,0.13501,0.024957,GALAXY,STARFORMING
1237648702968889559,21.62768,0.2972529,19.00488,0.01668552,17.62843,0.008014435,17.08577,0.007236788,16.70441,0.01627287,326546189921052672,0.2333403,5.229243E-05,0.222979,0.015474,GALAXY,
1237648702968889567,25.02417,1.527209,20.67906,0.05341849,18.95832,0.01797153,18.30909,0.01472129,17.89396,0.03491114,326548663822215168,0.3799154,0.000131719,0.377087,0.028841,GALAXY,
1237648702968955032,20.64163,0.08135483,18.73608,0.009819186,17.72791,0.00637032,17.31754,0.006288429,16.92378,0.01288621,326534645048961024,0.1112337,3.833467E-05,0.121986,0.009149,GALAXY,
1237648702968955086,20.2614,0.09233838,18.48963,0.01078705,17.78841,0.008387219,17.40709,0.008575476,17.13616,0.02203492,326545640165238784,0.1433452,1.004026E-05,0.097329,0.03576,GALAXY,STARFORMING
1237648702969020646,24.52754,1.925284,20.42564,0.05109803,18.72084,0.01648018,17.94759,0.01255854,17.55858,0.02956816,326534370171054080,0.4459758,0.0001085848,0.442174,0.017648,GALAXY,
1237648702969085956,19.91615,0.07096913,18.39039,0.01257129,17.59833,0.009005883,17.16592,0.008708039,16.91288,0.02065655,326533545537333248,0.1364351,1.241084E-05,0.131326,0.030778,GALAXY,
1237648702969151703,22.48405,0.5455451,20.57063,0.05346177,18.85448,0.01770254,18.17783,0.01460773,17.76371,0.03459868,326524199688497152,0.4158667,0.0001133507,0.392916,0.028134,GALAXY,
1237648702969151998,24.99859,1.887766,20.67702,0.06402253,18.89556,0.02001887,18.23599,0.01651592,17.78604,0.03892148,326524749444311040,0.4022268,0.0001665205,0.391484,0.027071,GALAXY,
1237648702969217173,19.8425,0.05216523,18.40333,0.008999376,17.77336,0.007351079,17.42686,0.007599559,17.2096,0.01961163,326511280426870784,0.08116315,1.491201E-05,0.088152,0.027687,GALAXY,STARFORMING
1237648703505236045,20.95141,0.1395838,18.96164,0.01316289,17.73031,0.00741423,17.19861,0.006546949,16.82251,0.01403769,326590720141977600,0.2034834,4.232252E-05,0.189526,0.015886,GALAXY,
1237648703505367153,20.49648,0.07901546,18.59301,0.008957124,17.68685,0.006490237,17.29888,0.006095192,16.9627,0.01314632,326594568432674816,0.0839024,2.765406E-05,0.098493,0.012238,GALAXY,
1237648703505432651,20.88423,0.1394537,18.9383,0.01356722,17.73676,0.007847701,17.25497,0.007038762,16.91904,0.01592916,326594293554767872,0.1938432,3.138921E-05,0.17869,0.009238,GALAXY,
1237648703505432722,19.64276,0.06163557,18.31597,0.01037967,17.58566,0.00813115,17.20321,0.007897563,16.96453,0.02099227,326583023560583168,0.1630721,1.475775E-05,0.127748,0.024973,GALAXY,STARFORMING
1237648703505563912,22.24919,0.4182861,20.2292,0.03589459,18.53667,0.01293298,17.90782,0.01040044,17.60781,0.02578829,326581924048955392,0.3188031,7.08869E-05,0.337623,0.018246,GALAXY,
1237648703505629346,19.6016,0.04456452,18.22379,0.00810464,17.53548,0.00654482,17.20735,0.006457803,16.91626,0.0149227,326574227467560960,0.07196096,1.803927E-05,0.09887,0.029786,GALAXY,STARFORMING
1237648703505629396,21.9228,0.3414739,19.33298,0.01877766,17.77058,0.008034993,17.23955,0.006928771,16.88813,0.015703,326581374293141504,0.2484984,4.334854E-05,0.273104,0.014539,GALAXY,
1237648703505629420,25.5586,1.071097,20.65898,0.04787979,18.92276,0.0165402,18.30438,0.01332179,17.8368,0.02966703,326572303322212352,0.3553489,0.0001274411,0.367182,0.025633,GALAXY,
1237648703505629678,22.85482,0.6656488,20.77151,0.05396386,19.07624,0.01869272,18.36438,0.01397292,17.85137,0.0303442,326573952589654016,0.4139488,0.0003122844,0.404117,0.035545,GALAXY,
