#objID,type,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,zWarning,class,subClass
1237648675070017599,3,18.0414,0.01439024,16.19628,0.003629207,15.51589,0.00335804,15.32263,0.00364296,15.2662,0.005097537,409943048366090240,-5.958334E-05,6.517555E-06,0.050481,0.019476,0,STAR,K1
1237648673996865908,3,18.02283,0.01408961,16.4053,0.004093914,15.80892,0.003914885,15.80422,0.01353507,15.55777,0.006270115,409836395738195968,-0.0001654964,7.280255E-06,0.045818,0.019391,0,STAR,K1
1237648673459602140,3,19.76375,0.04216917,17.36735,0.005225208,16.36338,0.004038941,16.0049,0.004022844,15.80474,0.006429425,409868831331215360,-0.0002013466,7.787437E-06,0.103209,0.024216,0,STAR,K5
1237648673459143423,3,21.30274,0.1297716,18.68846,0.009632681,17.3309,0.005593888,16.33545,0.004530474,15.81748,0.006556144,409901266924234752,-4.974413E-05,1.388622E-05,0.328985,0.189346,0,STAR,M2
1237671142553223311,3,20.86702,0.07768105,18.09314,0.00651361,16.74774,0.004285363,15.95747,0.004037422,15.51138,0.005609732,368216861902399488,3.358491E-05,9.108898E-06,-9999,-9999,0,STAR,M1
1237651505953243213,3,18.01357,0.01446043,16.8724,0.004163301,16.36687,0.00382665,16.14887,0.003953051,16.03704,0.007879923,334515450501163008,0.0002682313,1.101873E-05,0.025522,0.01084,0,STAR,G2
1237651505953243213,3,18.01357,0.01446043,16.8724,0.004163301,16.36687,0.00382665,16.14887,0.003953051,16.03704,0.007879923,334514346023479296,0.0002823655,1.105829E-05,0.025522,0.01084,0,STAR,G2
1237650762387685440,3,23.68086,5.039952,19.43734,0.06710001,18.60834,0.04154258,17.47005,0.02381593,16.93487,0.05044618,368296026739599360,0.0001425285,6.082938E-05,0.242399,0.087152,0,STAR,M4
1237650762387488782,3,19.88796,0.1033478,17.97281,0.01586969,15.99374,0.003688945,16.35483,0.00641979,16.50198,0.02046645,368275410896578560,2.162252E-05,1.156745E-05,-9999,-9999,0,STAR,F2
1237650760776679484,3,23.99257,1.176183,20.8943,0.04347011,19.48067,0.02092766,18.48332,0.01212848,17.84553,0.02228333,368253145786116096,-3.972823E-05,3.301137E-05,0.542234,0.034733,0,STAR,M2
1237650370478736349,3,24.69145,0.8452747,24.96191,0.6774316,22.95486,0.3041108,20.37575,0.08478217,18.96287,0.0539787,368254245297743872,0.0001801078,6.29901E-05,-9999,-9999,0,STAR,M7
1237648705658748994,3,24.62072,3.354661,20.61218,0.1020313,19.29466,0.0515019,17.20114,0.01095462,17.68537,0.06279649,334516824890697728,-0.0001272093,3.658142E-05,0.735396,0.13449,0,STAR,M5
1237648705658748994,3,24.62072,3.354661,20.61218,0.1020313,19.29466,0.0515019,17.20114,0.01095462,17.68537,0.06279649,334517919436269568,-9.009973E-05,5.329705E-05,0.735396,0.13449,0,STAR,M5
1237648703495667864,3,23.3284,1.414419,20.90887,0.08805987,19.08802,0.02545591,17.96243,0.01363863,17.1853,0.02328625,311913888624961536,-2.617539E-05,2.684716E-05,0.570708,0.035923,0,STAR,M3
1237651735758766141,3,18.5998,0.04670662,17.11881,0.006924841,16.88435,0.007687708,16.12235,0.00579763,15.88131,0.01527649,583264843419641856,0.0001863342,8.095923E-06,0.069446,0.031196,0,STAR,K3
1237648705653702679,3,18.67889,0.01900703,17.47526,0.004804444,16.90328,0.004184934,16.64328,0.004403688,16.51421,0.009088972,326676756926851072,0.0003556923,2.096091E-05,0.052274,0.023515,0,STAR,G0
1237648721786765440,3,18.94181,0.02095755,17.94695,0.005743652,17.45516,0.005198132,17.28752,0.005691526,17.23878,0.01534545,348038064217548800,-0.0002762573,1.639295E-05,0.029412,0.017762,0,STAR,F9
1237648721786765440,3,18.94181,0.02095755,17.94695,0.005743652,17.45516,0.005198132,17.28752,0.005691526,17.23878,0.01534545,348037245086754816,-0.0002989387,1.348181E-05,0.029412,0.017762,0,STAR,F9
1237651211212292297,3,20.41942,0.0540097,17.79171,0.005329276,16.37309,0.003579546,15.51535,0.003248788,15.04471,0.004448041,395271436391966720,-2.428345E-05,9.606829E-06,0.452399,0.099512,0,STAR,M1
1237651211212292297,3,20.41942,0.0540097,17.79171,0.005329276,16.37309,0.003579546,15.51535,0.003248788,15.04471,0.004448041,395270610332182528,-2.539439E-05,8.18399E-06,0.452399,0.099512,0,STAR,M1
1237651211212292313,3,20.91923,0.081561,18.50339,0.007476113,17.03138,0.004382137,15.45673,0.003192874,14.58217,0.003853553,395273085659408384,-7.384142E-05,2.430461E-05,-9999,-9999,0,STAR,M4
1237651211212292313,3,20.91923,0.081561,18.50339,0.007476113,17.03138,0.004382137,15.45673,0.003192874,14.58217,0.003853553,395268686186833920,-7.576952E-05,2.264368E-05,-9999,-9999,0,STAR,M4
1237651212288327821,3,18.19271,0.01337521,16.54182,0.003537925,15.90745,0.003218974,15.69591,0.003350769,15.5803,0.005683576,413322122425821184,-0.0001483899,7.017975E-06,0.0453,0.030798,0,STAR,K1
1237651224634065113,3,22.31904,0.2569253,19.45651,0.01219922,18.02526,0.006669245,17.29738,0.005544895,16.87744,0.01036334,395265114200107008,2.71164E-05,1.254484E-05,0.21445,0.049977,0,STAR,M0
1237651224634065113,3,22.31904,0.2569253,19.45651,0.01219922,18.02526,0.006669245,17.29738,0.005544895,16.87744,0.01036334,395262638872881152,1.594876E-05,1.242985E-05,0.21445,0.049977,0,STAR,M0
1237651224636555311,3,20.53313,0.08756603,18.66244,0.009717443,17.39453,0.005568462,17.48752,0.006705526,17.18957,0.01337172,413313051454892032,-0.0001924265,7.733613E-06,0.112191,0.051452,0,STAR,F9
1237648721748099225,3,17.46804,0.009472688,15.86964,0.003246366,15.26994,0.003420407,14.99431,0.003337722,15.06231,0.004992314,529282664864180224,5.120578E-05,7.597633E-06,0.026793,0.013998,0,STAR,K1
1237651537642520587,3,22.14886,0.5905666,20.65189,0.1066868,19.68358,0.07148932,18.45272,0.02884961,22.80038,2.271504,559597026082318336,-0.0002672416,4.796006E-05,-9999,-9999,0,STAR,M0
1237651271904526495,3,18.66088,0.0243696,17.53384,0.005652731,16.88399,0.004637292,16.63907,0.00470061,16.51291,0.0114533,559596476326504448,-0.0003832919,1.481006E-05,0.065654,0.027947,0,STAR,G0
1237650796751880632,3,23.18999,0.688346,21.35086,0.0689806,19.63897,0.02280619,18.68553,0.01614663,18.18107,0.03357188,529268371213019136,0.0001461691,5.109463E-05,0.513519,0.02045,0,STAR,M2
1237650795141791887,3,18.32397,0.0350717,17.86526,0.02352376,17.93394,0.01253031,16.98878,0.006792442,16.62983,0.01349206,529207073439770624,-1.97122E-05,1.346627E-05,0.242145,0.157952,0,STAR,F5
1237648721210966250,3,17.80535,0.01089729,16.57777,0.003861618,16.17757,0.00384717,16.04265,0.004111955,16.01714,0.007190469,529249954393253888,9.06328E-05,9.153147E-06,0.018115,0.006786,0,STAR,F9
1237659895637213502,3,20.8345,0.07442878,18.29923,0.00707833,17.02639,0.004792727,16.58239,0.004764824,16.27506,0.007694473,413371325571164160,-5.817717E-05,8.446671E-06,0.192127,0.011237,0,STAR,K7
1237651226247495828,3,18.45426,0.01625196,18.47996,0.007460918,18.33421,0.007900741,17.588,0.007019247,16.97334,0.01192955,413247080757225472,-4.18057E-05,1.545438E-05,0.41197,0.204726,0,STAR,M3
1237651226247233630,3,25.60452,6.283804,26.71103,3.768634,17.06033,0.01682738,25.87136,4.088233,23.34556,6.188458,413343288024655872,-6.065354E-05,2.3284E-05,-9999,-9999,0,STAR,A0
1237651226247168108,3,18.70361,0.01836726,16.70266,0.003692208,15.86083,0.003196161,15.56072,0.00335807,15.38709,0.005053369,413344937292097536,-4.075957E-05,7.002936E-06,0.092629,0.031009,0,STAR,K3
1237651226246906095,3,18.08141,0.01245244,16.65185,0.003733527,15.9717,0.003502969,15.61846,0.003555122,15.39921,0.0049704,413348785582794752,-0.0002071998,7.374842E-06,0.068023,0.020516,0,STAR,F9
1237651226246905880,3,20.59441,0.3177856,17.98903,0.01635853,24.74251,4.105474,17.81084,0.02643422,19.39332,0.3677429,413350984606050304,-0.0001104111,2.851803E-05,0.265971,0.147183,0,STAR,F2
1237651225710494098,3,21.99159,0.2442146,19.19379,0.01187444,17.88602,0.007154458,17.03382,0.005438642,16.50557,0.01063805,413257800995596288,-0.0001222156,1.007151E-05,0.222924,0.121799,0,STAR,M1
1237651225173622850,3,20.48578,0.05870902,17.8594,0.005951357,16.58578,0.003917936,16.06701,0.003812325,15.78909,0.006307825,413281165617686528,-8.33525E-05,8.114297E-06,0.188479,0.011541,0,STAR,K7
1237651224636948670,3,20.34653,0.1493817,18.9748,0.02749232,18.57339,0.02763459,19.05183,0.05646305,22.87736,1.933077,413275393181640704,-0.0001375207,6.854214E-06,0.172386,0.071828,0,STAR,K3
1237651224636686497,3,19.78728,0.03530242,17.20792,0.004452267,15.84434,0.00319775,15.27294,0.003224489,14.95472,0.00447168,413279516350244864,-0.0001128466,8.972293E-06,0.20842,0.010653,0,STAR,K7
1237651224633737283,3,24.37275,6.81899,24.9213,4.415251,24.74108,5.667377,16.00539,0.01050805,22.75457,6.002564,395300846901946368,-0.0001005153,4.004473E-05,-9999,-9999,0,STAR,A0
1237651224633737283,3,24.37275,6.81899,24.9213,4.415251,24.74108,5.667377,16.00539,0.01050805,22.75457,6.002564,395299199060568064,-0.0001542751,3.280952E-05,-9999,-9999,0,STAR,A0
1237651224097128682,3,19.12737,0.02218608,16.74663,0.003891315,15.3627,0.003073947,14.96193,0.003273448,14.66345,0.004133217,395274183744972800,-0.0003644037,8.325903E-06,0.168779,0.010593,0,STAR,K7
1237651224097128682,3,19.12737,0.02218608,16.74663,0.003891315,15.3627,0.003073947,14.96193,0.003273448,14.66345,0.004133217,395278858095454208,-0.0003517601,7.941821E-06,0.168779,0.010593,0,STAR,K7
1237657071160459932,3,22.88927,0.7081543,21.44687,0.0751037,20.3409,0.04199172,19.45871,0.02827467,18.83285,0.07058686,789394959475173376,0.0002933544,8.438794E-05,0.588407,0.059768,0,STAR,M3
1237651213361873244,3,21.9612,0.1926852,19.2887,0.01165741,17.90413,0.006367002,17.24289,0.0057933,16.88116,0.0109064,413361704844421120,-8.443421E-05,9.801911E-06,0.231976,0.027698,0,STAR,M0
1237651212288262751,3,22.50379,0.3581454,20.90919,0.03972234,19.94638,0.0267349,19.04038,0.01852502,18.43499,0.04264313,413308653408380928,9.907121E-05,6.459892E-05,0.574519,0.062276,0,STAR,M4
1237651211748966431,3,24.00026,4.556017,25.19643,3.358579,18.24626,0.03507788,17.39849,0.01871969,23.00894,4.110541,395266212285671424,-0.0001555009,7.121572E-05,0.95825,0.104353,0,STAR,M0
1237651211748966431,3,24.00026,4.556017,25.19643,3.358579,18.24626,0.03507788,17.39849,0.01871969,23.00894,4.110541,395267313223362560,-3.681619E-05,4.798518E-05,0.95825,0.104353,0,STAR,M0
1237651211748704371,3,18.24327,0.0153757,16.86289,0.003966318,16.25524,0.003468564,16.03818,0.003575019,15.92936,0.00659833,395307443971713024,-0.0003955671,8.064352E-06,0.015864,0.015212,0,STAR,F9
1237651211748704371,3,18.24327,0.0153757,16.86289,0.003966318,16.25524,0.003468564,16.03818,0.003575019,15.92936,0.00659833,395309644421031936,-0.0004055056,8.075021E-06,0.015864,0.015212,0,STAR,F9
1237651211748638910,3,21.67949,0.176428,18.8519,0.009331188,17.52616,0.005502857,16.81306,0.004645879,16.4067,0.008412601,395294801014056960,-8.084431E-05,1.170397E-05,0.131003,0.042813,0,STAR,M0
1237651211748638910,3,21.67949,0.176428,18.8519,0.009331188,17.52616,0.005502857,16.81306,0.004645879,16.4067,0.008412601,395290126663575552,-7.569307E-05,1.080335E-05,0.131003,0.042813,0,STAR,M0
1237648721771692253,3,21.96234,0.1885368,20.97648,0.03887922,20.44497,0.04028875,20.16311,0.04128657,19.72104,0.1149089,326648169624528896,0.002878178,3.803202E-05,0.253233,0.111475,0,STAR,F9
1237651211212226802,3,19.74523,0.03425401,17.3205,0.004577588,16.10324,0.003367377,15.61083,0.003275087,15.31416,0.005046813,395272809355438080,-0.0001209841,9.481641E-06,0.169224,0.006834,0,STAR,K7
1237651211212226802,3,19.74523,0.03425401,17.3205,0.004577588,16.10324,0.003367377,15.61083,0.003275087,15.31416,0.005046813,395269237368711168,-0.0001223083,8.531171E-06,0.169224,0.006834,0,STAR,K7
1237651211212226753,3,20.95883,0.09157525,18.90174,0.009666339,17.58402,0.005623838,16.73075,0.004641146,16.19864,0.007941287,395274458622879744,2.847112E-05,1.501992E-05,0.195789,0.082377,0,STAR,M2
