objID,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class,subClass
1237648705650753821,25.47418,1.523492,20.36745,0.04392111,18.61509,0.01516111,18.03679,0.01414103,17.73571,0.033535,323254803239036928,0.3744878,8.600453E-05,0.334682,0.019528,GALAXY,
1237648705650884832,21.54354,0.1747402,20.61603,0.03613371,19.82233,0.02917699,19.66048,0.03625544,19.10261,0.07243485,323280092006475776,0.358213,2.066653E-05,0.311043,0.067752,GALAXY,
1237648705651081495,23.33247,1.306188,21.09738,0.08548952,19.55711,0.03289383,18.77909,0.02482702,18.26901,0.05684844,323299058582054912,0.4318153,6.374493E-05,0.450222,0.035128,GALAXY,
1237648705666220338,23.22953,1.002043,20.25387,0.0325252,18.55343,0.01233919,17.93702,0.01083445,17.60788,0.02579584,345739809987258368,0.3395799,6.790589E-05,0.342156,0.020302,GALAXY,
1237648705666285984,21.58694,0.2995956,20.4443,0.04544677,18.69005,0.01584201,18.0806,0.0139196,17.73244,0.03336991,345741184376793088,0.3538354,0.000130365,0.348472,0.019623,GALAXY,
1237648705666548504,21.76916,0.39706,20.65439,0.06472257,18.89489,0.02088301,18.20068,0.01709082,17.69349,0.03802413,345765373632604160,0.4002303,0.0001398409,0.410611,0.028462,GALAXY,
1237648705666679219,23.59715,1.094496,20.51048,0.03753543,18.78329,0.01341567,18.19034,0.01200478,17.82083,0.02905682,345776093870974976,0.3122384,6.90267E-05,0.347462,0.019416,GALAXY,
1237648705666810047,19.70185,0.05129365,19.22082,0.01502578,18.41721,0.01084336,18.05866,0.01148602,17.68247,0.0260465,345799183615158272,0.2586249,1.88761E-05,0.312204,0.035081,GALAXY,
1237648705666810270,21.43435,0.2390213,20.02714,0.03042587,18.38958,0.0117243,17.83248,0.01076857,17.46461,0.0249102,345795335324461056,0.3147129,6.05149E-05,0.320273,0.020555,GALAXY,
1237648705667268832,25.11348,1.641801,20.57655,0.05136322,18.78174,0.0164505,18.10446,0.01364844,17.69321,0.03220595,345821723603527680,0.3589966,0.0001479308,0.387605,0.0239,GALAXY,
1237648720159244532,26.00459,0.7725304,19.82908,0.0273952,18.25066,0.0108081,17.6986,0.009707994,17.33049,0.02186011,324274325010016256,0.2954716,5.743272E-05,0.251642,0.020981,GALAXY,
1237648720159244592,24.5073,0.8377341,22.80409,0.1928355,21.83748,0.1038385,21.53356,0.1157743,22.28047,0.5882318,324283670858852352,0.02441577,2.430472E-05,0.250827,0.109515,GALAXY,
1237648720159310044,22.82694,0.5313007,20.78648,0.05058735,18.90319,0.01493202,18.31153,0.01308182,17.92027,0.02965,324273775254202368,0.3638907,7.153173E-05,0.356727,0.018695,GALAXY,
1237648720159310047,22.99604,0.6548938,20.71004,0.05133208,18.88954,0.01560101,18.1842,0.01253734,17.76661,0.02752516,324274050132109312,0.364073,0.0001168144,0.410302,0.021272,GALAXY,
1237648720159375622,25.00854,1.552395,20.28624,0.04278952,18.60522,0.01488232,17.96642,0.01237843,17.60135,0.02910348,324263055015831552,0.3604337,0.0001097926,0.350096,0.028272,GALAXY,
1237648720173859550,21.96771,0.4820023,20.42001,0.06063624,18.67202,0.02018572,18.03291,0.01791902,17.56106,0.03992162,345731288772143104,0.3471565,7.59391E-05,0.375639,0.022343,GALAXY,
1237648720175694135,23.23042,0.9850436,20.17282,0.036502,18.36949,0.01215771,17.77565,0.01087464,17.46208,0.02774164,346780497726171136,0.3228364,8.444121E-05,0.338355,0.016443,GALAXY,
1237648720175759891,22.22835,0.4465801,21.33047,0.0999824,19.38493,0.02722023,18.40784,0.01807101,17.99578,0.04403859,346781597237798912,0.508745,0.0001287887,0.512889,0.018889,GALAXY,
1237648720695918764,21.26022,0.1819139,19.60737,0.02244513,18.1067,0.009986135,17.53477,0.008444173,17.18337,0.01979175,324308959626291200,0.3015535,4.945529E-05,0.279888,0.019425,GALAXY,
1237648720695918782,22.8845,1.018902,19.54917,0.02818306,18.14374,0.01255372,17.52097,0.01004807,17.14422,0.0246929,324311708405360640,0.2409331,9.495181E-05,0.229716,0.027177,GALAXY,
1237648720695919416,22.88974,0.6877093,21.40469,0.09267567,19.69671,0.0314521,18.80891,0.02015977,18.36729,0.04821058,324309234504198144,0.4748823,0.0001422018,0.492647,0.022053,GALAXY,
1237648720695984724,22.20507,0.6395321,20.32463,0.05950843,18.69328,0.02169048,17.87324,0.01482173,17.48111,0.0363408,324310334015825920,0.4739504,0.0001650179,0.46623,0.016257,GALAXY,
1237648720696049868,19.59501,0.03491804,18.77444,0.009473925,18.15722,0.007869433,17.80074,0.007586434,17.59853,0.01880853,324302637434431488,0.2032191,8.58369E-06,0.184011,0.031922,GALAXY,STARBURST
1237648720696115461,23.13037,0.8570608,19.91014,0.02733773,18.30103,0.01107392,17.71461,0.009194341,17.38856,0.02170173,324301812800710656,0.3303022,5.288059E-05,0.304882,0.01439,GALAXY,
1237648720696312342,22.25152,0.5646517,20.4401,0.05926644,18.8163,0.02175199,18.03875,0.01533036,17.61502,0.03594914,324278173300713472,0.4584259,0.0001108531,0.440875,0.026586,GALAXY,
1237648720696574269,22.1644,0.3555867,19.50897,0.01837604,18.00236,0.008387136,17.47252,0.007387619,17.11822,0.01641803,324265803794900992,0.25685,5.039865E-05,0.266007,0.016158,GALAXY,
1237648720696574546,22.24336,0.4430987,20.87966,0.06507558,19.00854,0.01976587,18.318,0.01504705,18.03346,0.03952682,324264979161180160,0.4038625,0.0001099614,0.391621,0.025678,GALAXY,
1237648720710729951,20.20602,0.08695579,18.96077,0.01499556,18.08449,0.01036087,17.62982,0.009979325,17.40914,0.02631447,345734587307026432,0.2219461,1.613274E-05,0.192648,0.024084,GALAXY,STARFORMING
1237648720712368489,23.21088,0.8953994,20.73495,0.04984835,19.03969,0.01798919,18.3659,0.01468432,17.97342,0.03662097,346804961859889152,0.3273996,7.528371E-05,0.389795,0.032419,GALAXY,
1237648720712630602,23.35567,0.9442233,20.49577,0.03859632,18.87327,0.01498807,18.16083,0.01202008,17.77931,0.0283823,346784346016868352,0.4348548,0.0001021048,0.391931,0.043445,GALAXY,
1237648721232396482,23.35269,0.8874618,20.96867,0.0613767,19.18712,0.02008462,18.44199,0.015242,17.99478,0.0375711,323285314686707712,0.4328996,0.0001214008,0.429498,0.024559,GALAXY,
1237648721232527605,22.16599,0.3752989,20.03009,0.03063012,18.37852,0.01161112,17.81449,0.01032513,17.42879,0.02492355,323294935413450752,0.2748019,5.838101E-05,0.313425,0.016155,GALAXY,
1237648721232724214,22.65884,0.4896015,20.18934,0.03118841,18.45059,0.01118238,17.85299,0.009609594,17.52422,0.023812,323308954186704896,0.3063712,0.0001121646,0.337728,0.016162,GALAXY,
1237648721232986424,22.49048,0.4312978,20.70333,0.04628101,18.89063,0.01536586,18.21003,0.01251373,17.74835,0.02918716,324289993050712064,0.4096226,8.051739E-05,0.397075,0.026886,GALAXY,
1237648721232986735,24.32065,0.7607186,22.09649,0.08567827,20.27861,0.02743678,19.63684,0.0224545,19.41409,0.06430955,324290817684432896,0.3965993,0.0001324699,0.381573,0.040927,GALAXY,
1237648721233051775,19.48547,0.02630286,18.77707,0.008582775,18.26637,0.00750337,18.11929,0.008385817,17.72073,0.01780136,324291092562339840,0.3666774,1.019725E-05,0.243602,0.039783,GALAXY,STARBURST
1237648721233511109,25.63751,0.7967082,21.60779,0.09196176,19.85503,0.02942038,18.98576,0.02051705,18.55518,0.05095213,324268827451877376,0.4551864,0.0001231699,0.483802,0.021499,GALAXY,
1237648721247863096,21.98001,0.3171003,20.25133,0.03590124,18.52013,0.01275071,17.92809,0.01125675,17.50431,0.02991872,345723867068655616,0.3407025,9.89724E-05,0.345168,0.022417,GALAXY,
1237648721247994066,20.10172,0.05820029,19.20613,0.01305232,18.59362,0.01077313,18.24196,0.01137412,18.0596,0.03570493,345771695824463872,0.1970972,1.439241E-05,0.186398,0.025065,GALAXY,
1237648721248256317,24.67876,1.830109,20.92612,0.07154404,19.28642,0.02694495,18.51374,0.02058354,18.00909,0.04884608,345803856539576320,0.4011863,0.0001264031,0.439545,0.037221,GALAXY,
1237648721768349985,22.61094,0.4880057,20.48099,0.04025679,18.75389,0.01488518,18.14496,0.01255944,17.78747,0.03337802,323228689837877248,0.3723176,0.0001083734,0.350068,0.019705,GALAXY,
1237648721768415466,21.78684,0.2549542,20.49998,0.04260139,18.79803,0.01583212,18.19161,0.01330885,17.77843,0.03446663,323229789349505024,0.3680045,9.37627E-05,0.351678,0.024437,GALAXY,
1237648721768415470,22.1158,0.3473517,20.44815,0.04146069,18.64834,0.01435118,18.037,0.01199793,17.69767,0.03278401,323227315448342528,0.3731045,8.456051E-05,0.350689,0.016728,GALAXY,
1237648721768939716,19.22306,0.02841525,18.44674,0.008210842,18.12586,0.008256597,17.72653,0.008115659,17.68008,0.02422548,323260850552989696,0.08243393,6.883877E-06,0.098009,0.02191,GALAXY,STARBURST
1237648721769005333,22.60558,0.6003476,20.16337,0.03563441,18.48388,0.01365515,17.85858,0.01139063,17.53662,0.03098343,323266073233221632,0.3592142,9.264163E-05,0.334414,0.018017,GALAXY,
1237648721769136719,25.2467,1.476423,20.72276,0.05949664,19.02766,0.02113836,18.22416,0.01521882,17.76324,0.03863318,323271845669267456,0.4610173,0.0001099634,0.448846,0.023695,GALAXY,
1237648721769333030,23.15398,1.054644,20.23176,0.0428965,18.55433,0.01582782,17.93602,0.01340847,17.51292,0.03462629,323286139320428544,0.3226115,0.0001124347,0.344002,0.029155,GALAXY,
1237648721784406687,22.98928,0.8869187,20.7299,0.05496565,18.99189,0.02019703,18.26571,0.01650199,17.79775,0.0412231,345746132179118080,0.4314653,0.0001021834,0.426837,0.020044,GALAXY,BROADLINE
1237648721784603517,24.29763,1.006182,21.54316,0.07627515,19.78723,0.02472973,19.0654,0.01895101,18.68205,0.05332996,345760700708186112,0.4323255,0.0001942714,0.427442,0.020802,GALAXY,
1237648721784799621,21.88691,0.4140941,19.64603,0.02720338,18.08523,0.01133608,17.50932,0.01016418,17.09432,0.02780972,345768947045394432,0.2827761,6.939143E-05,0.287144,0.022786,GALAXY,
1237648721785651483,23.3301,0.9599162,20.3269,0.03454425,18.65047,0.01351525,18.0461,0.01175617,17.74337,0.0337491,345823097993062400,0.3438759,8.486766E-05,0.330263,0.023204,GALAXY,
1237648721785651492,22.3264,0.4003957,20.39391,0.03516303,18.73041,0.01382676,18.09283,0.0118042,17.69101,0.0312134,345826121650038784,0.3031041,0.0001053854,0.349491,0.026292,GALAXY,
1237648722305679597,21.87285,0.3005007,19.97422,0.03014792,18.39775,0.0123432,17.81078,0.01117786,17.47673,0.02513937,323246556901828608,0.2927897,6.782387E-05,0.299695,0.015942,GALAXY,
1237648722305745624,24.00029,1.277044,20.98352,0.06221711,19.20972,0.02052804,18.46477,0.01662026,18.1477,0.03774453,323247656413456384,0.4356595,8.454993E-05,0.412603,0.03108,GALAXY,
1237648722305811190,22.50298,0.4419023,21.09187,0.0667043,19.40341,0.02347397,18.57103,0.01743443,18.11612,0.03624171,323257277140199424,0.4527502,0.0001601499,0.473146,0.020521,GALAXY,
1237648722306203742,19.77057,0.03449466,19.00671,0.01026492,18.82179,0.01085815,18.46668,0.01144136,18.54875,0.03346473,323290262489032704,0.07522497,6.555887E-06,0.083637,0.021033,GALAXY,STARBURST
1237648722306269364,20.08838,0.0444683,19.3599,0.01315163,18.87852,0.01163688,18.48036,0.01196122,18.43369,0.03162174,323301807361124352,0.1558638,7.825654E-06,0.17147,0.027774,GALAXY,STARBURST
1237648722321343332,23.26207,1.26589,21.04352,0.09305166,19.32516,0.03201596,18.41067,0.02284513,17.97781,0.05030444,345743108522141696,0.4809838,0.0001466037,0.491186,0.016481,GALAXY,
1237648722321408018,23.53253,1.042826,21.16534,0.07467747,19.22242,0.02143784,18.52891,0.01821073,18.19325,0.04261141,345743383400048640,0.4278868,0.0001215863,0.397242,0.02415,GALAXY,
1237648722321473882,24.43017,1.519785,21.44758,0.1037695,19.44965,0.02690621,18.67378,0.02097896,18.21031,0.04477099,345744482911676416,0.4326679,0.0001882909,0.436966,0.026574,GALAXY,
1237648722321605060,22.288,0.9123561,19.84438,0.05031529,18.04672,0.01590175,17.42892,0.01461249,17.10283,0.03685649,345753553882605568,0.3823503,9.815545E-05,0.345519,0.016308,GALAXY,
1237648722321670501,23.35332,1.009321,20.5637,0.04604947,18.75051,0.01473648,18.08384,0.01295852,17.74799,0.03172584,345766198266324992,0.4144656,0.000100905,0.375887,0.028645,GALAXY,
1237648722321735967,19.33039,0.03491008,18.67414,0.00991392,18.37479,0.01025626,18.05956,0.011755,18.00717,0.03537449,345780217039579136,0.1302673,7.585206E-06,0.129171,0.022824,GALAXY,STARBURST
