objID,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class
1237667735576249012,23.02727,0.5670854,21.88857,0.09701017,20.21843,0.03463869,19.3406,0.02256639,18.83677,0.0553705,7238653873300461568,0.4931675,7.773589E-05,0.502796,0.025789,GALAXY
1237667782858965570,25.57149,0.8498937,22.21775,0.1312938,20.36292,0.04405623,19.52432,0.03117696,19.08914,0.0921826,4582533937319139328,0.4962729,0.0001158892,0.476294,0.023201,GALAXY
1237667783914619458,27.03705,0.4964896,21.0365,0.07245006,19.57554,0.03154922,18.69327,0.02161157,18.41763,0.05910747,6747561399378270208,0.4936995,9.246742E-05,0.478969,0.035077,GALAXY
1237668271910420993,21.86882,0.279498,21.67596,0.1018664,20.44255,0.05182515,19.6277,0.03884142,19.27855,0.1109778,6182386583574173696,0.534399,0.0001272939,0.557186,0.047016,GALAXY
1237668292302013067,24.33506,1.279945,21.83383,0.1100355,20.25097,0.03789446,19.39699,0.0274281,18.86314,0.06248925,6620345704551569408,0.4600858,0.0001162587,0.491713,0.028018,GALAXY
1237671936041485205,22.60196,0.726994,21.99936,0.1390332,20.24281,0.0493453,19.10117,0.02810954,18.55997,0.0756529,6826434316710729728,0.5485045,0.0001350919,0.590422,0.029578,GALAXY
1237671936583403015,22.07063,0.3069978,22.92966,0.2453742,21.308,0.08625453,20.05115,0.04714316,19.49308,0.09551039,5631806680285337600,0.7239808,0.0001858444,0.672627,0.046308,GALAXY
1237671958052536979,23.755,1.616264,21.74883,0.1505483,19.86284,0.044122,18.96949,0.03303818,18.59505,0.08384603,6117211381681117184,0.4976061,0.0001936201,0.488229,0.023752,GALAXY
1237673700745347931,21.59716,0.3891878,21.03433,0.08564907,19.95118,0.09877955,19.20646,0.04396464,19.0575,0.1528661,4887656108209231872,0.5400026,0.0001705943,0.555848,0.049554,GALAXY
1237673700745936910,23.55453,1.810471,22.05126,0.209942,20.50796,0.08262818,19.31789,0.04298811,18.83396,0.1102598,4887617075546445824,0.5445424,0.0001763706,0.600122,0.036584,GALAXY
1237678597004132724,24.55828,2.724854,22.06507,0.2126604,20.47991,0.07381242,19.40812,0.04081739,18.98042,0.1095701,4859468202932197376,0.6438079,0.0001782349,0.552922,0.024328,GALAXY
1237678905701303042,22.74122,1.056396,21.22678,0.09294245,19.5551,0.03454129,18.78922,0.02435593,18.29034,0.05427745,5697226530528450560,0.4470094,9.519613E-05,0.449772,0.026843,GALAXY
1237678906771702956,26.81845,0.4665871,22.48521,0.2564897,20.76283,0.08801106,19.57903,0.04551511,19.02641,0.1067422,5688136312709994496,0.5714805,0.0001926867,0.612701,0.032326,GALAXY
1237678906771834117,22.08488,0.9071332,21.65292,0.1806975,20.22071,0.08496875,19.32554,0.05179077,18.77703,0.1362682,5707412956507297792,0.5382515,0.0002331043,0.532894,0.03656,GALAXY
1237679169844543895,23.89074,2.113675,21.79011,0.1255345,20.33324,0.05821539,19.38746,0.04039444,18.87857,0.09342863,5762469345608620032,0.4968251,0.000140924,0.536953,0.038607,GALAXY
1237679435054842363,27.44273,2.038968,19.32499,0.1174622,18.66147,0.1043404,17.80017,0.06591184,17.56737,0.2253019,4902305455945308160,0.5641378,0.0003315365,0.112434,0.1214,GALAXY
1237679435055170093,26.42739,0.6698472,21.64768,0.1419704,20.15994,0.05646857,19.33579,0.0385277,18.85141,0.09963932,4903302708344412160,0.4912995,0.0001813072,0.481489,0.034784,GALAXY
1237680243599278378,24.77797,2.325292,21.9632,0.1528109,19.99271,0.04206472,19.17536,0.03149357,18.81927,0.07771751,8049275973055830016,0.5158553,0.0001222481,0.46382,0.022958,GALAXY
1237680473370002158,21.47384,0.2392724,20.8826,0.0503121,19.80017,0.031562,19.11232,0.0245878,18.84967,0.06608461,7325282750050883584,0.5071651,1.999867E-05,0.54914,0.03936,GALAXY
1237680505045910613,23.52769,1.674172,22.1373,0.2252525,20.12083,0.05944807,19.07212,0.03468008,18.58944,0.07027803,8039177508107868160,0.5129404,0.0001188436,0.550195,0.026058,GALAXY
1237648704063275696,23.08477,0.891276,21.84389,0.1322352,20.21098,0.04829114,19.26336,0.02783149,18.82758,0.06856443,4512650622072543232,0.5349373,0.0001066612,0.514871,0.026688,GALAXY
1237648704591561295,22.04853,0.4062981,22.2321,0.1872861,20.44806,0.06212505,19.44702,0.03718885,18.59685,0.06951874,4535336849934407680,0.5422565,0.0001512677,0.615799,0.047417,GALAXY
1237648720140436222,23.29811,0.9190935,22.84,0.3258411,20.92686,0.08490507,19.82542,0.04840373,19.38389,0.117558,4257287945114114048,0.591257,0.0001671062,0.579837,0.036673,GALAXY
1237650796210291797,25.82058,0.6709978,22.32379,0.1823523,20.62597,0.05938064,19.67999,0.0365299,19.36043,0.118239,5390824520805537792,0.4776272,0.0001406915,0.512679,0.026329,GALAXY
1237651249874272895,25.53771,0.6781709,22.91343,0.2387766,20.9378,0.06290121,19.7561,0.0324188,19.25594,0.06946555,8240720195095910400,0.6313763,0.0002019075,0.609785,0.035194,GALAXY
1237651249893146634,23.86077,1.263878,21.44625,0.08752705,20.30434,0.04766371,19.4982,0.03168673,19.24593,0.08610465,7673165477867444224,0.5462881,0.000100296,0.493587,0.113237,GALAXY
1237651250442928495,24.33405,1.719492,22.39366,0.2105232,20.73018,0.07566342,19.34852,0.03046861,18.73841,0.06501511,6796093293258364928,0.7062989,0.000209065,0.681001,0.04285,GALAXY
1237651250443059947,25.5106,1.224135,22.37453,0.1882462,21.03091,0.09173012,19.57071,0.03418521,19.01443,0.07826641,6796105937642084352,0.6859745,0.0001735963,0.69351,0.046654,GALAXY
1237651496295727817,24.49582,1.999628,21.06077,0.08110488,19.94921,0.04643544,19.22739,0.03384315,19.04095,0.1198995,4150271104412571648,0.5338035,8.857202E-05,0.382576,0.118456,GALAXY
1237651754011132169,22.6308,1.154868,20.55391,0.07697674,18.94535,0.02904279,18.1019,0.02111485,17.63501,0.05964037,582226075480778752,0.4761492,0.0001072538,0.473066,0.018684,GALAXY
1237651754011394437,22.6523,0.6540977,21.85323,0.1422765,20.78786,0.08386377,19.76833,0.05245154,20.39511,0.4003933,5346018867889330176,0.5222712,0.0001349272,0.363263,0.137749,GALAXY
1237651754534961662,23.12184,0.7806373,21.8725,0.1159738,20.68546,0.06155116,19.75299,0.0448497,19.36944,0.110509,5334705993069910016,0.6471653,4.932741E-05,0.577933,0.053303,GALAXY
1237652899686777297,22.71573,0.6500031,21.96935,0.1416547,20.74713,0.07646383,19.65687,0.04718087,19.70122,0.1677873,8088547230469085184,0.5584285,4.615142E-05,0.603565,0.067262,GALAXY
1237662662134661900,23.88201,1.628543,21.95582,0.1376596,20.12178,0.04530878,19.20088,0.03238841,18.64786,0.07455043,4351771728554514432,0.508779,7.480546E-05,0.511504,0.02592,GALAXY
1237662662671139441,24.32258,1.842291,21.66302,0.1040831,19.92922,0.03770884,18.86461,0.02418059,18.52482,0.0711581,4346217545516472320,0.5411744,0.0001058219,0.545278,0.028781,GALAXY
1237662695956808409,25.88942,0.5990303,23.23565,0.3120831,21.30912,0.08210469,19.98487,0.04101253,19.44492,0.09283772,4366421622976174080,0.6225829,0.0001901012,0.681405,0.032282,GALAXY
