objID,dered_u,err_u,dered_g,err_g,dered_r,err_r,dered_i,err_i,dered_z,err_z,specObjID,z,zErr,photoZ,photoErr,class,subClass
1237651753990554326,23.16303,1.227582,21.31415,0.1055922,19.59011,0.03471611,18.8013,0.02555052,18.42333,0.07600235,528180404188899328,0.4524851,0.0001151234,0.448826,0.024463,GALAXY,
1237651754022011225,25.17526,2.08349,21.19362,0.09764817,19.58332,0.03550048,18.77616,0.02698457,18.26035,0.07192825,596835836268406784,0.4376572,0.0001338334,0.466084,0.02952,GALAXY,
1237651822173225618,22.80803,0.9214796,21.47424,0.124512,19.83192,0.04096172,18.85547,0.02672172,18.50454,0.08364005,658703981190604800,0.5225726,0.0001987312,0.521835,0.022922,GALAXY,
1237652599562305788,24.39109,1.093722,21.83257,0.1334192,24.67066,0.6945201,24.26421,0.7372561,22.75426,0.7381518,716092993102178304,-0.0002719036,3.135206E-05,-9999,-9999,GALAXY,
1237652599562436802,22.7904,0.6016987,23.215,0.2840579,21.34684,0.06966401,19.30313,0.01926257,19.03478,0.05674869,716091893590550528,0.3838093,0.0001008481,0.578568,0.041965,GALAXY,
1237652899146105136,24.75553,1.901187,21.51563,0.1060133,19.53949,0.02878253,18.91505,0.02517131,18.51996,0.06760266,743106619423877120,0.3466685,0.000153059,0.373415,0.025927,GALAXY,
1237652899150823955,22.8168,0.7990666,21.47245,0.1106729,19.62697,0.03278547,18.7209,0.02272627,18.30744,0.05583136,749872188877727744,0.4825822,0.0001353163,0.49029,0.018107,GALAXY,
1237652899150889097,20.39123,0.08570833,19.77107,0.02541485,19.68117,0.02946621,20.41181,0.0819556,19.33515,0.1099432,749872463755634688,0.006415432,4.165994E-06,0.086551,0.134948,GALAXY,STARBURST
1237652933494767849,20.88724,0.1553389,19.68802,0.02551442,19.74936,0.0333175,22.40089,0.5162847,18.79666,0.08123984,716096841392875520,0.08070523,8.322206E-06,-9999,-9999,GALAXY,STARFORMING
1237652934568902784,24.72348,1.67622,21.91895,0.1485478,19.60039,0.03012374,18.75097,0.02208199,18.43031,0.06575686,716093817735899136,0.4473838,0.0001536216,0.44135,0.037492,GALAXY,
1237652936178467111,21.81417,0.2270311,21.83244,0.0762284,21.0449,0.05697568,19.18467,0.02081164,18.70475,0.05057387,715110853820573696,0.06347327,1.340409E-05,0.739668,0.082216,GALAXY,STARFORMING
